scenario,year,rsl_17th_pct_m,rsl_median_m,rsl_83rd_pct_m
Low,2020,0.033,0.053,0.074
Low,2030,0.057,0.086,0.117
Low,2040,0.081,0.118,0.16
Low,2050,0.101,0.145,0.194
Low,2060,0.123,0.175,0.233
Low,2070,0.139,0.204,0.275
Low,2080,0.155,0.227,0.311
Low,2090,0.173,0.252,0.348
Low,2100,0.181,0.277,0.396
Low,2150,0.231,0.388,0.581
Intermediate-Low,2020,0.038,0.064,0.092
Intermediate-Low,2030,0.07,0.103,0.138
Intermediate-Low,2040,0.103,0.146,0.19
Intermediate-Low,2050,0.14,0.191,0.248
Intermediate-Low,2060,0.18,0.238,0.305
Intermediate-Low,2070,0.221,0.288,0.365
Intermediate-Low,2080,0.268,0.344,0.433
Intermediate-Low,2090,0.318,0.402,0.507
Intermediate-Low,2100,0.353,0.459,0.583
Intermediate-Low,2150,0.571,0.764,1.003
Intermediate,2020,0.045,0.071,0.097
Intermediate,2030,0.082,0.112,0.148
Intermediate,2040,0.121,0.166,0.223
Intermediate,2050,0.175,0.233,0.313
Intermediate,2060,0.236,0.314,0.418
Intermediate,2070,0.314,0.413,0.542
Intermediate,2080,0.421,0.542,0.686
Intermediate,2090,0.57,0.717,0.85
Intermediate,2100,0.708,0.911,1.056
Intermediate,2150,1.259,1.796,3.616
Intermediate-High,2020,0.044,0.072,0.1
Intermediate-High,2030,0.082,0.124,0.175
Intermediate-High,2040,0.134,0.196,0.291
Intermediate-High,2050,0.213,0.306,0.444
Intermediate-High,2060,0.32,0.455,0.62
Intermediate-High,2070,0.451,0.657,0.834
Intermediate-High,2080,0.63,0.893,1.083
Intermediate-High,2090,0.852,1.151,1.336
Intermediate-High,2100,1.071,1.414,1.6
Intermediate-High,2150,1.743,2.436,3.477
High,2020,0.048,0.074,0.1
High,2030,0.089,0.13,0.186
High,2040,0.147,0.223,0.328
High,2050,0.254,0.367,0.524
High,2060,0.421,0.59,0.776
High,2070,0.628,0.878,1.06
High,2080,0.942,1.216,1.388
High,2090,1.345,1.586,1.756
High,2100,1.727,1.958,2.149
High,2150,2.684,3.512,5.192
